시설명,소재지도로명주소,소재지지번주소,운영기관명,전화번호,급식장소,급식대상,급식시간,급식요일,운영시작일자,운영종료일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
관운사가야복지센터,경상북도 성주군 성주읍 경산길 33-1,경상북도 성주군 성주읍 경산리 577-4,관운사가야복지센터,054-931-3000,관운사가야복지센터,60세이상 저소득층 독거노인 및 결식노인,중식(11:30~13:00),"월, 금",2010-01-08,,35.9156622,128.2843144,2020-07-15,5210000,경상북도 성주군
이웃과하나노인복지센터,경상북도 성주군 성주읍 예산3길 8-4,경상북도 성주군 성주읍 예산리 466,이웃과하나노인복지센터,054-931-1611,이웃과하나노인복지센터,60세이상 저소득층 독거노인 및 결식노인,중식(12:00~13:00),"화, 수",2004-11-05,,35.9244472,128.2859217,2020-07-15,5210000,경상북도 성주군
대전광역시노인복지관,대전광역시 중구 테미로 26 (대흥동),대전광역시 중구 대흥동 311-1,대전광역시노인복지관,042-242-3101,1층 행복식당,60세 이상 저소득 노인,중식(11:50-13:00),월+화+수+목+금,2007-01-01,,36.32073573,127.4208506,2022-09-02,3650000,대전광역시 중구
문창효심정,대전광역시 중구 보문로20번길 33 (문창동),대전광역시 중구 문창동 119-21,대전가톨릭사회복지회,042-635-5111,1층 문창효심정,60세 이상 저소득 노인,중식(11:50-13:00),월+화+수+목+금,1999-01-01,,36.31594468,127.4376435,2022-09-02,3650000,대전광역시 중구
성락종합사회복지관,대전광역시 중구 선화로43번길 13 (용두동),대전광역시 중구 용두동 53-31,성락종합사회복지관,042-254-6396,1층 만나홀,60세 이상 저소득 노인,중식(11:10-12:00),월+화+수+목+금,2001-01-01,,36.32761859,127.4126736,2022-09-02,3650000,대전광역시 중구
중촌종합사회복지관,"대전광역시 중구 대전천서로 695 (중촌동, 주공아파트2단지)",대전광역시 중구 중촌동 128-1,중촌종합사회복지관,042-221-2577,1층 노인무료급식소,60세 이상 저소득 노인,중식(11:30-12:30),월+화+수+목+금,1998-01-01,,36.34486682,127.410512,2022-09-02,3650000,대전광역시 중구
호산나공동체,대전광역시 중구 계룡로815번길 6 (용두동),대전광역시 중구 용두동 35-1,호산나공동체,042-222-4149,1층 노인무료급식소,60세 이상 저소득 노인,석식(16:30-17:30),월+화+수+목+금,2001-01-01,,36.3273479,127.4072784,2022-09-02,3650000,대전광역시 중구
중촌효심정,대전광역시 중구 대전천서로 616 (중촌동),대전광역시 중구 중촌동 382-1,대전YWCA,042-254-3035,1층 중촌효심정,60세 이상 저소득 노인,중식(11:50-13:00),월+화+수+목+금,1999-01-01,,36.3385338,127.4159917,2022-09-02,3650000,대전광역시 중구
서부종합사회복지관,충청북도 청주시 흥덕구 가로수로1370번길 16(복대동),,서부종합사회복지관,043-236-3600,서부종합사회복지관,60세이상 기초수급자+차상위+저소득 독거노인,중식(12:00~13:00),월+화+수+목+금,,,,,2023-06-20,5710000,충청북도 청주시
청주종합사회복지관,충청북도 청주시 흥덕구 1순환로 392(신봉동),,청주종합사회복지관,043-266-4761,청주종합사회복지관,60세이상 기초수급자+차상위+저소득 독거노인,중식(12:00~13:00),월+화+수+목+금,,,,,2023-06-20,5710000,충청북도 청주시
염리종합사회복지관,서울특별시 마포구 대흥로24길 50,서울특별시 마포구 염리동 14-11,사회복지법인 대한사회복지회,02-3276-1800,경로식당,수급자+차상위+기타저소득,중식(11:30~13:00),월+화+수+목+금,2021-11-01,2024-12-31,37.55484369,126.9486358,2023-09-12,3130000,서울특별시 마포구
사랑의전화종합사회복지관,서울특별시 마포구 만리재로 29,,사랑의전화 복지재단,02-6371-1058,경로식당+식사배달+밑반찬배달,수급자+차상위+기타저소득,중식(11:30~13:00),월+화+수+목+금,2023-01-01,2024-12-31,37.54477493,126.9545585,2023-09-12,3130000,서울특별시 마포구
동해시노인종합복지관 경로식당,강원특별자치도 동해시 감추7길 50,강원특별자치도 동해시 천곡동 84-14,동해시노인종합복지관,033-530-9000,동해시노인종합복지관 지하식당,65세이상 수급자+차상위계층,중식(11:30~12:30),월+화+수+목+금,2000-05-08,,37.5150722,129.1227562,2023-09-06,4211000,강원특별자치도 동해시
묵호노인종합복지관,강원특별자치도 동해시 향로2길 48,강원특별자치도 동해시 발한동 198-1,묵호노인종합복지관,033-534-6844,묵호노인종합복지관,65세이상 수급자+차상위계층,중식(11:30~12:30),월+화+수+목+금,2018-04-01,,37.54536936,129.1065188,2023-09-06,4211000,강원특별자치도 동해시
금천노인종합복지관,서울특별시 금천구 시흥대로51길 93-32(시흥동),서울특별시 금천구 시흥동 558-1,금천노인종합복지관,02-804-4058,금천노인종합복지관 지하1층,저소득 어르신,중식(11:20-12:40),월+화+수+목+금+토,,,37.4501638,126.8977638,2023-09-06,3170000,서울특별시 금천구
금천누리종합사회복지관,서울특별시 금천구 가산로 129(가산동),서울특별시 금천구 가산동 144-3,금천누리종합사회복지관,02-868-6856,금천누리종합사회복지관 5층,저소득 어르신,중식(11:20-12:30),월+화+수+목+금+토,,,37.476852,126.891799,2023-09-06,3170000,서울특별시 금천구
